Model,RMSE,MAE,R2,Real_RMSE,Real_MAE
Linear_Regression,2.1409807680552047,1.9273570588773963,0.5685685060717935,7221.499954293713,2190.3077110989757
Decision_Tree,1.0631212805683643,0.6551645456104768,0.8936219719063334,2394.0405608208584,569.4403657110346
Random_Forest,1.063538382063602,0.6730691120609656,0.8935384835227136,2330.4639749190187,531.3744857242494
GBT_Regressor,1.0560168625941007,0.6449362938745399,0.895038985725076,2232.0055676985717,529.6969825697847
GLR,2.140980768054986,1.9273570588778854,0.5685685060718815,7221.499954080551,2190.3077110592108
